"class","order","family","Genus","species","wet_Mass_g","wet_Mass_kg","temperature","temperature_unit","Reference","taxon_name","pc1","pc2","pc3","pc4","pc5","log_mass","log_BMR","inv_kT","row_id","Species","temp_K","in_phylogeny","prediction_type","y_pred_log_BMR"
"Amphibia","Anura","Phyllomedusidae","Agalychnis","callidryas",6,0.006,20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).","Agalychnis callidryas",-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.0029329313331031,-5.11599580975408,-4.09768346348762,39.5871292029482,0,"Agalychnis callidryas",293.15,TRUE,"fixed_effect_pglsModel_Brownian",-5.06204213716022
"Amphibia","Caudata","Ambystomatidae","Ambystoma","gracile",22,0.022,15,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).","Ambystoma gracile",-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.0029329313331031,-3.81671282562382,-4.4898593394771,40.2740479814134,1,"Ambystoma gracile",288.15,TRUE,"fixed_effect_pglsModel_Brownian",-4.54085324081787
"Amphibia","Caudata","Ambystomatidae","Ambystoma","tigrinum",38,0.038,15,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).","Ambystoma tigrinum",-5161.75961412521,3001.3884308578,9.63443467555201,-0.806028876738105,-0.0021049370118414,-3.27016911925575,-4.17050592318767,40.2740479814134,2,"Ambystoma tigrinum",288.15,TRUE,"fixed_effect_pglsModel_Brownian",-4.1207137845958
"Amphibia","Caudata","Amphiumidae","Amphiuma","tridactylum",493,0.493,25,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).","Amphiuma tridactylum",-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.0029329313331031,-0.707246104939447,-1.75703603316967,38.9232497932056,3,"Amphiuma tridactylum",298.15,TRUE,"fixed_effect_pglsModel_Brownian",-1.21136687011084
"Amphibia","Anura","Bufonidae","Anaxyrus","americanus",30,0.03,20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).","Anaxyrus americanus",-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.0029329313331031,-3.50655789731998,-1.68470039693465,39.5871292029482,4,"Anaxyrus americanus",293.15,TRUE,"fixed_effect_pglsModel_Brownian",-3.82483391122219
"Amphibia","Anura","Bufonidae","Anaxyrus","cognatus",40,0.04,20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).","Anaxyrus cognatus",-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.0029329313331031,-3.2188758248682,-1.35716715146165,39.5871292029482,5,"Anaxyrus cognatus",293.15,TRUE,"fixed_effect_pglsModel_Brownian",-3.60368674938234
"Amphibia","Anura","Bufonidae","Anaxyrus","woodhousii",71,0.071,20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).","Anaxyrus woodhousii",-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.0029329313331031,-2.64507540194082,-0.691260073378395,39.5871292029482,6,"Anaxyrus woodhousii",293.15,TRUE,"fixed_effect_pglsModel_Brownian",-3.16259449114244
"Amphibia","Caudata","Plethodontidae","Bolitoglossa","rostrata",3,0.003,15,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).","Bolitoglossa rostrata",-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.0029329313331031,-5.80914299031403,-6.54003049885685,40.2740479814134,7,"Bolitoglossa rostrata",288.15,TRUE,"fixed_effect_pglsModel_Brownian",-6.07247553597908
"Amphibia","Anura","Bombinatoridae","Bombina","orientalis",3,0.003,20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).","Bombina orientalis",-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.0029329313331031,-5.80914299031403,-4.98594268150589,39.5871292029482,8,"Bombina orientalis",293.15,TRUE,"fixed_effect_pglsModel_Brownian",-5.5948787175273
"Amphibia","Anura","Dendrobatidae","Colostethus","inguinalis",2,0.002,20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).","Colostethus inguinalis",-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.0029329313331031,-6.21460809842219,-5.07073921816597,39.5871292029482,9,"Colostethus inguinalis",293.15,TRUE,"fixed_effect_pglsModel_Brownian",-5.90656813605453
